OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
POC24006	7	POC24006_L367.avi	84035	POC24006_R368.avi	82836	56.02333	TimeSeaBed	49.41133	560.09945	3.95241	1.03561	2838.97167	11.86380	18.50384	0.41054	-281.48902	511.28689	-2778.32859	Carangidae	Caranx	ignobilis	37337027	1	AD	Passing			
POC11003	0	POC11003_L375.avi	17256	POC11003_R376.avi	19498	11.50400	timeseabed	2.85933	277.63893	3.76425	1.61666	2507.97738	6.44223	22.95878	0.34776	159.24729	232.00300	-2492.14073	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
POC11003	2	POC11003_L375.avi	40761	POC11003_R376.avi	43003	27.17400	timeseabed	18.52933	303.93531	0.88719	0.82443	1301.06192	14.60076	9.80903	12.07558	-304.53328	-121.76505	-1259.04522	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC11003	3	POC11003_L375.avi	40761	POC11003_R376.avi	43003	27.17400	timeseabed	18.52933	229.46814	1.01861	1.27550	1265.38222	17.26401	19.04504	3.30940	-334.20816	-171.26191	-1208.37347	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC11003	4	POC11003_L375.avi	42844	POC11003_R376.avi	45086	28.56267	timeseabed	19.91800	244.15585	3.83635	2.03584	3597.27279	14.28402	6.32295	13.52204	624.57469	630.59667	-3486.06165	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11003	5	POC11003_L375.avi	42844	POC11003_R376.avi	45086	28.56267	timeseabed	19.91800	261.87245	5.52269	2.00072	2575.84961	20.92951	40.53178	10.19260	-850.87218	350.25604	-2405.89660	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11003	6	POC11003_L375.avi	42860	POC11003_R376.avi	45102	28.57333	timeseabed	19.92867	226.68390	6.13649	5.04775	2919.39667	20.41929	32.37382	10.00393	896.54487	483.35695	-2735.95509	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11003	8	POC11003_L375.avi	45190	POC11003_R376.avi	47432	30.12667	timeseabed	21.48200	425.43031	0.89856	3.78893	1260.42893	8.10935	16.81907	30.96979	-177.63689	7.60561	-1247.82546	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC11003	9	POC11003_L375.avi	45190	POC11003_R376.avi	47432	30.12667	timeseabed	21.48200	427.78464	2.73587	2.21685	1349.01204	13.22778	8.90991	5.65898	-280.06564	-129.80606	-1313.22013	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC11003	12	POC11003_L375.avi	45308	POC11003_R376.avi	47550	30.20533	timeseabed	21.56067	422.69956	0.76647	5.76299	1359.01353	3.91884	3.82420	22.59116	-92.61465	-7.01107	-1355.83596	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC11003	13	POC11003_L375.avi	45526	POC11003_R376.avi	47768	30.35067	timeseabed	21.70600	348.38756	0.91236	5.91762	1352.83465	5.88492	18.15480	45.13542	-137.71212	-16.58524	-1345.70498	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC11003	14	POC11003_L375.avi	45541	POC11003_R376.avi	47783	30.36067	timeseabed	21.71600	375.16996	1.25395	5.83983	1129.87594	4.20894	44.59465	32.40810	76.10521	-32.93477	-1126.82870	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
