Dot Point Measurements																									
																									
"Generated: Tuesday, November 20, 2018 15:07:32"																									
																									
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	FieldOfView	Relief	Bedforms	Bedform.type	CODE	Radius %
POC11014_L.avi	52529	5004.1347	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11014_L.avi	52529	5004.1347	136	960													Open Water			Open					46.6
POC11014_L.avi	52529	5004.1347	405	960													Open Water			Open					15.5
POC11014_L.avi	52529	5004.1347	675	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	15.5
POC11014_L.avi	52529	5004.1347	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11014_L.avi	52529	5004.1347	136	1344													Open Water			Open					64.3
POC11014_L.avi	52529	5004.1347	405	1344													Open Water			Open					46.9
POC11014_L.avi	52529	5004.1347	675	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11014_L.avi	52529	5004.1347	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11014_L.avi	52529	5004.1347	136	1727													Open Water			Open					100
POC11014_L.avi	52529	5004.1347	405	1727													Open Water			Open					89.8
POC11014_L.avi	52529	5004.1347	675	1727													Open Water			Open					89.8
POC11014_L.avi	52529	5004.1347	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11015_L367.avi	62259	5109.2293	136	193													Open Water			Open					100
POC11015_L367.avi	62259	5109.2293	405	193													Open Water			Open					89.8
POC11015_L367.avi	62259	5109.2293	675	193													Open Water			Open					89.8
POC11015_L367.avi	62259	5109.2293	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11015_L367.avi	62259	5109.2293	136	576													Open Water			Open					64.3
POC11015_L367.avi	62259	5109.2293	405	576													Open Water			Open					46.9
POC11015_L367.avi	62259	5109.2293	675	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11015_L367.avi	62259	5109.2293	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	Bioturbated		82001015	64.3
