OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
POC13007	1	0	1160.92917	756.07692	1098.28211	738.84615
POC13007	1	1	1293.46218	738.76923	1227.35774	722.69231
POC13007	2	0	170.56423	842.30769	2.30492	819.23077
POC13007	2	1	590.06002	756.92308	431.02041	747.69231
POC13007	3	0	1380.64826	664.61538	1477.45498	636.92308
POC13007	3	1	1108.66747	641.53846	1207.77911	604.61538
POC13007	4	0	908.13926	168.46154	742.18487	177.69231
POC13007	4	1	1134.02161	36.92308	1030.30012	13.84615
POC13007	5	0	543.96158	420.00000	46.09844	450.00000
POC13007	5	1	1074.09364	20.76923	935.79832	0.00000
POC13007	6	0	1154.76591	542.30769	285.81032	581.53846
POC13007	7	0	228.18727	41.53846	46.09844	103.84615
POC13007	8	0	1071.78872	246.92308	813.63745	242.30769
POC13007	9	0	1041.82473	436.15385	587.75510	445.38462
POC13007	10	0	1011.86074	429.23077	562.40096	440.76923
POC13007	11	0	1343.76951	200.76923	963.45738	198.46154
POC13007	11	1	1044.12965	228.46154	693.78151	240.00000
POC13007	12	0	785.97839	34.61538	596.97479	53.07692
POC13007	12	1	306.55462	57.69231	13.82953	117.69231
POC13007	13	0	1765.57023	99.23077	1410.61224	62.30769
POC13007	13	1	1449.79592	87.69231	1122.49700	66.92308
POC13007	14	0	322.68908	387.69231	55.31813	422.30769
POC13007	14	1	679.95198	334.61538	398.75150	364.61538
POC13007	15	0	352.65306	131.53846	23.04922	186.92308
POC13007	15	1	1143.24130	117.69231	836.68667	106.15385
POC38004	0	0	426.41056	863.07692	147.51501	881.53846
POC38004	0	1	546.18607	796.00000	378.00720	821.53846
POC38004	1	0	672.09604	822.69231	371.09244	852.69231
POC38004	1	1	525.73349	860.76923	116.39856	895.38462
POC38004	2	0	841.29652	731.53846	537.04682	786.92308
POC38004	2	1	327.29892	784.61538	20.74430	807.69231
POC38004	3	0	1196.25450	717.69231	532.43697	775.38462
POC38004	4	0	972.67707	445.38462	928.88355	477.69231
POC38004	4	1	260.45618	426.92308	237.40696	477.69231
POC13009	0	0	984.20168	461.53846	785.97839	387.69231
POC13009	0	1	1595.00600	189.23077	1482.06483	43.84615
POC13009	1	0	892.00480	627.69231	723.74550	565.38462
POC13009	1	1	1249.26771	565.38462	1069.48379	498.46154
POC13009	2	0	1691.81273	567.69231	1629.57983	498.46154
POC13009	3	0	1592.70108	662.30769	1650.32413	604.61538
POC13009	3	1	1376.03842	634.61538	1435.96639	576.92308
POC13009	4	0	1143.24130	673.84615	804.41777	623.07692
POC13009	4	1	1772.48499	611.53846	1429.05162	553.84615
POC13009	5	0	993.42137	729.23077	673.03721	678.46154
POC13009	5	1	1221.60864	660.00000	1000.33613	600.00000
POC13009	6	0	493.25330	459.23077	378.00720	399.23077
POC13009	6	1	1032.60504	463.84615	868.95558	392.30769
POC13009	7	0	1701.03241	521.53846	1470.54022	456.92308
POC13009	7	1	1394.47779	463.84615	1260.79232	369.23077
POC13009	8	0	513.99760	701.53846	34.57383	660.00000
POC13009	8	1	785.97839	680.76923	350.34814	634.61538
POC13009	9	0	1382.95318	581.53846	1417.52701	507.69231
POC13009	10	0	1424.44178	634.61538	1424.44178	604.61538
POC13009	10	1	1157.07083	616.15385	1196.25450	535.38462
POC13009	11	0	1346.07443	602.30769	1143.24130	551.53846
POC13009	11	1	1094.83794	542.30769	905.83433	486.92308
POC13009	12	0	1684.89796	565.38462	1728.69148	482.30769
POC13009	12	1	1477.45498	551.53846	1495.89436	475.38462
POC13009	13	0	825.16206	588.46154	537.04682	514.61538
POC13009	13	1	1071.78872	602.30769	804.41777	496.15385
POC13009	14	0	1714.86194	692.30769	1336.85474	650.76923
POC13009	14	1	1454.40576	595.38462	1110.97239	565.38462
POC13009	15	0	1378.34334	401.53846	1339.15966	320.76923
POC13009	15	1	1546.60264	406.15385	1518.94358	279.23077
POC13009	16	0	1581.17647	415.38462	1590.39616	304.61538
POC13009	16	1	1742.52101	456.92308	1726.38655	355.38462
POC13009	17	0	1719.47179	362.30769	1585.78631	258.46154
POC13009	18	0	622.32893	486.92308	656.90276	429.23077
POC13009	19	0	569.31573	703.84615	417.19088	627.69231
POC39002	0	0	1309.19568	911.53846	917.35894	976.15385
